0;10;urn:epc:id:sgtin:0714141.912345.6789,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143;STRING
10;20;urn:epc:id:sgtin:0714141.912345.67891,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143;STRING
20;30;urn:epc:id:sgtin:0714141.912345.6789,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143;STRING
30;40;urn:epc:id:sgtin:0714141.912345.6789,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143;STRING
40;50;urn:epc:id:sgtin:0714141.912345.6789,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143;STRING
50;60;urn:epc:id:sgtin:0714141.912345.6789,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143;STRING
60;80;urn:epc:id:sgtin:0714141.912345.6789,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143;STRING
80;100;urn:epc:id:sgtin:0714141.912345.6789,urn:epc:id:sgtin:1214752.907970.2143,urn:epc:id:sgtin:1214752.907970.2143;STRING
100;150;urn:epc:id:sgtin:0714141.912345.6789,urn:epc:id:sgtin:1214752.907970.2143;STRING
150;1000;urn:epc:id:sgtin:0714141.912345.6789;STRING
